"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"684","Happy Monday! Week 6 still in Quarantine. Starting off the week with some lemon poppyseed muffins. Still waiting on https://t.co/d1s0AXg6N3",FALSE,0,NA,2020-04-20 16:14:08,TRUE,NA,"1252269326784217089",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ReadingDiaries",0,FALSE,FALSE,NA,NA
"685","Pleased with these! Cant wait to taste. Lemon and blueberry muffins. #baking #therapy #StayHome https://t.co/5c9nPMtyhv",FALSE,46,NA,2020-04-20 16:12:30,FALSE,NA,"1252268915620818946",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_caroroberts",1,FALSE,FALSE,NA,NA
"686","#stayhome #covid19 #breadmachine #breaddough #baking #bakingfromscratch #monkeybread https://t.co/Dg8SKDRxB9",FALSE,0,NA,2020-04-20 16:10:14,FALSE,NA,"1252268347045052424",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","mandy_reedyk",0,FALSE,FALSE,NA,NA
"687","Sweet plantain banana chips. A wonderful snack! If you have ever wondered how to cook and eat plantains, here you g https://t.co/XKGOG1a4Zp",FALSE,1,NA,2020-04-20 16:10:08,TRUE,NA,"1252268321451282432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KitchenWithMatt",0,FALSE,FALSE,NA,NA
"688","A lot of #baking this weekend!",FALSE,0,NA,2020-04-20 16:10:01,FALSE,NA,"1252268290883321857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oma5966",0,FALSE,FALSE,NA,NA
"689","If you had told me two months ago that I would be making Naan from scratch before breakfast...#baking #bread https://t.co/3uoKeDQDEF",FALSE,2,NA,2020-04-20 16:09:59,TRUE,NA,"1252268281567809542",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","grlwithcamera",0,FALSE,FALSE,NA,NA
"690","Feta cheese &amp; smoked salmon #pastry  with ingredients from @AbelandCole! #baking #cookingathome #Greenwich #food https://t.co/LDIKqFcm5B",FALSE,0,NA,2020-04-20 16:06:31,TRUE,NA,"1252267412545769474",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DanielaStemate",0,FALSE,FALSE,NA,NA
"691","Chocolate  #brownies #browngirls  #pastrychef #pinchofbrownsugar #baking https://t.co/n7qtYKwIv6",FALSE,12,NA,2020-04-20 16:05:24,FALSE,NA,"1252267130021527552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pnchofbrownsuga",3,FALSE,FALSE,NA,NA
"692","Campus might be closed. But thats not going to stop us from showing off our #Baking &amp; #PastryArts lab. Check it ou https://t.co/Q40o5p1hda",FALSE,4,NA,2020-04-20 16:02:14,TRUE,NA,"1252266335201038336",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","PennCollege",1,FALSE,FALSE,NA,NA
"693","#mondayblogs #Romancingthegenres writer Kristin Wallace is coping with the #2020pandemic by #baking Romancing the G https://t.co/DmuPmJrMrO",FALSE,2,NA,2020-04-20 16:01:54,TRUE,NA,"1252266248576122886",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","peggy_jaeger",2,FALSE,FALSE,NA,NA
"694","Making a yeast-leavened sourdough starter for #homemade #sourdough #bread #BreadMaking #breadstarter #baking https://t.co/jbL5phcNwb",FALSE,0,NA,2020-04-20 15:59:52,FALSE,NA,"1252265737441296384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kimkasch",0,FALSE,FALSE,NA,NA
"695","Watching my favorite Christmas movie "" Die Hard"" in celebration of today. Happy 420!
#420day #420blazeit #baking https://t.co/M7F3S7g7Bn",FALSE,0,NA,2020-04-20 15:58:20,TRUE,NA,"1252265352081391628",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thatsasexyname",0,FALSE,FALSE,NA,NA
"696","I love #culinaryecho New part of #culinarymedicine #staysafe #baking https://t.co/GQtQ2avY1t",FALSE,0,NA,2020-04-20 15:57:42,FALSE,NA,"1252265190969577472",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","johnlapuma",0,FALSE,FALSE,NA,NA
